,position,jobdesc,newgrad,junior,senior,url,wage
121,Supplier Quality Engineer,"Investigate, analyze and solve problems in quality and production process. Control and check quality of raw materials purchased at supplier location. They may also perform audits and implement new strategies.",21500.0,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/325#job-des,40000.0
122,Supply Chain Engineer,Check stock and issue Purchase Order to suppliers. Follow up shipment and plan for shipment schedules. Issue invoice for customer and handle stock control.,-1,45000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/214#job-des,45000.0
123,Supply Chain Manager,Manage flow of finished goods for the whole Commercial Unit to optimize inventory for Commercial and distribution centers. Establish monthly forecasts in order to define quantities to be purchased.,-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00004/215#job-des,125000.0
124,System Engineer,"Analyze, design and provide configuration of server systems to clients.",21500.0,35000.0,-1,https://adecco.co.th/salary-guide/2019/00004/219#job-des,35000.0
125,Technical Consultant,"Understand technical aspects of all products and solutions of the company. Design, deploy and perform on-going administration and troubleshooting of the systems.",-1,32500.0,55000.0,https://adecco.co.th/salary-guide/2019/00004/221#job-des,32500.0
126,Technical Service Manager,"Oversee installation, setting up, testing and commissioning of products. Manage preventive maintenance and calibration plan. Provide solutions to customers where appropriate.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00004/272#job-des,115000.0
127,Technician,"Ensure high quality products is made with efficient, accurate, safe and on time process.  Utilize manufacturing equipment and in-process instrumentation to manufacture products in accordance to current manufacturing standard, company policy and safety regulations.",17500.0,30000.0,42500.0,https://adecco.co.th/salary-guide/2019/00004/413#job-des,30000.0
128,VP – Technical,"Establish work schedules, safety standards, quality control procedures and customer service policies related to company's product. Oversee the technical services team's budget and monitors the performance of subordinates through reviews, training and mentoring.",-1,-1,200000.0,https://adecco.co.th/salary-guide/2019/00004/395#job-des,200000.0
129,Warehouse Manager,Manage and control inventory to ensure production continuity and materials do not run out of stock. Inspect material received and report any issue.  In charge of inventory control of all warehouse stock and verify all document related to warehouse stock system.,-1,-1,85000.0,https://adecco.co.th/salary-guide/2019/00004/273#job-des,85000.0
130,Assistant Finance Manager,"Perform a variety of tasks under the leadership of an organization's controller or finance director. Prepare and present a company's financial statements in accordance with generally accepted accounting principles (GAAP), company guidelines and industry requirements. Partner with internal or external auditors to ensure that internal policies and guidelines around financial reporting mechanisms are functional and adequate.",-1,57500.0,95000.0,https://adecco.co.th/salary-guide/2019/00005/388#job-des,57500.0
131,Collection Manager,Create collection programs and manage teams to achieve target.,-1,-1,77500.0,https://adecco.co.th/salary-guide/2019/00005/32#job-des,77500.0
132,Collection Officer,Follow up on client loans payment cases and prepare collection report.,21500.0,25000.0,35000.0,https://adecco.co.th/salary-guide/2019/00005/33#job-des,25000.0
133,Collection Supervisor,"Control collection team, create scripts and drive teams to achieve targets.",-1,35000.0,45000.0,https://adecco.co.th/salary-guide/2019/00005/34#job-des,35000.0
134,Corporate Finance Specialist,"Recommend main strategies, including financing strategy, F/X management strategy and short term investment strategy. Coordinate with subsidiaries and bankers.",-1,-1,52500.0,https://adecco.co.th/salary-guide/2019/00005/38#job-des,52500.0
135,Credit Analyst,Analyze and create clients portfolio and approve clients’ loan.,21500.0,32500.0,-1,https://adecco.co.th/salary-guide/2019/00005/283#job-des,32500.0
136,Finance & Accounting Manager,"Manage financial and accounting functions. Manage and monitor finance and Accounting team. Responsible for company’s financial and accounting functions and data processing, including financial management and cost accounting.",-1,-1,175000.0,https://adecco.co.th/salary-guide/2019/00005/70#job-des,175000.0
137,Finance Manager,"Set up accounting systems and be responsible for financial and accounting matters. Provide timely and accurate reportings.  Oversee, review and maintain effective financial management systems and internal controls. Handle cash flow projection and management.  In charge of budgeting and variance analysis. Review key expenses, monitor inventory and recommend cost reduction programs.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00005/71#job-des,115000.0
138,Financial Administrator / Officer,Perform administrative functions and provide support to related departments. Provide document support for related departments.,21500.0,32500.0,-1,https://adecco.co.th/salary-guide/2019/00005/336#job-des,32500.0
139,Financial Analyst,"Responsible for business plan development.  Handle feasibility study for new projects, industry analysis and financial projections. Advise and analyze product pricing, create clients’ portfolio and approve client loans.",21500.0,32500.0,65000.0,https://adecco.co.th/salary-guide/2019/00005/72#job-des,32500.0
140,Financial Controller,"Oversee finance and accounting, treasury, budgeting, audit, tax, and purchasing functions. Responsible for cash flow management. Analyze and review financial statements, financial reporting and business trend analysis.",-1,100000.0,200000.0,https://adecco.co.th/salary-guide/2019/00005/73#job-des,100000.0
141,Leasing Officer / Executive,"Physically show rental properties to prospective residents. Get involved with company's marketing, including working with local newspapers and other media to promote the rental location.",21500.0,35000.0,-1,https://adecco.co.th/salary-guide/2019/00005/392#job-des,35000.0
142,Relationship Manager,Expand business towards prospects and existing clients and prepare credit proposals. Develop and execute marketing plans.,21500.0,55000.0,105000.0,https://adecco.co.th/salary-guide/2019/00005/158#job-des,55000.0
143,Risk Management Analyst,Analyse and manage portfolio delinquency and loss rates. Manage credit losses.,-1,32500.0,45000.0,https://adecco.co.th/salary-guide/2019/00005/159#job-des,32500.0
144,Risk Management Manager,"Implement organization's risk management program. Develop system, policies & procedures for identification, collection & risk analysis.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00005/160#job-des,115000.0
145,Senior Credit Analyst,"Perform credit risk analysis, create clients portfolio and approve clients' loan.",-1,-1,65000.0,https://adecco.co.th/salary-guide/2019/00005/182#job-des,65000.0
146,Senior Investment Analyst,"Perform detailed analysis of ROI investment data. Monitor key marketing investment accounts. Prepare investment plan, forecast and monthly reporting process.",-1,52500.0,90000.0,https://adecco.co.th/salary-guide/2019/00005/186#job-des,52500.0
147,Settlement / Operation Officer,Supervise and monitor day-to-day operations.,21500.0,25000.0,-1,https://adecco.co.th/salary-guide/2019/00005/207#job-des,25000.0
148,Trade Finance Officer / Executive,Responsible for opening letter of Credit (L/C) and handle import/export documentations.,21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00005/223#job-des,30000.0
149,Treasury,"Monitor and review company's financial transactions, both deposits and payments. Prepare payment and cash control.",-1,52500.0,90000.0,https://adecco.co.th/salary-guide/2019/00005/349#job-des,52500.0
150,Assistant Human Resources Manager,"Manage, plan and develop HR strategies and HR functions for the expansion and development of the business.  Assist HR Manager in managing all HR functions.",-1,45000.0,55000.0,https://adecco.co.th/salary-guide/2019/00006/17#job-des,45000.0
151,Chief Human Resources Officer,"Provide leadership in developing and executing Human Resources strategy in support of the company's overall business plan and strategic direction, specifically in the areas of succession planning, talent management, change management, organizational development, performance management, training and development, and compensation.",-1,-1,185000.0,https://adecco.co.th/salary-guide/2019/00006/29#job-des,185000.0
152,HR - Compensation & Benefit,"Responsible for job evaluation, job grade, salary survey and payroll.",21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/292#job-des,30000.0
153,HR / Administrative Officer,Perform administrative functions and provide support to related departments. Provide document support for related departments.,21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/339#job-des,30000.0
154,HR Generalist / HR Specialist,"Oversee recruitment, training and other specialty departments.",-1,42500.0,75000.0,https://adecco.co.th/salary-guide/2019/00006/82#job-des,42500.0
155,HRD Manager (Regional),"Build foundations for corporate culture, Code of Conduct and Business Drivers. Design and develop regional policies and procedures to enforce the same standard practices.",-1,-1,150000.0,https://adecco.co.th/salary-guide/2019/00006/83#job-des,150000.0
156,HRIS,"Manage, report and analyze employee information.  Administer employee benefits, employment history, update status changes and personal information changes. Establish innovative solutions to integrate systems, for administration and deployment of strategic Human Resources information, programs, and services purposes.",-1,37500.0,55000.0,https://adecco.co.th/salary-guide/2019/00006/293#job-des,37500.0
157,HRM Manager,"Oversee HRM, HR strategy and manpower planning. Implement effective and suitable HR functions, such as recruitment, performance management, compensation & benefit, HR policies and employee relations.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00006/294#job-des,115000.0
158,Human Resources Director / VP,"In charge of strategic HR planning and business direction. Plan, develop and evaluate HR functions. Develop appropriate policies and programs for effective management within the organization.",-1,-1,200000.0,https://adecco.co.th/salary-guide/2019/00006/87#job-des,200000.0
159,Human Resources Executive / Officer / Staff,"Operate one or multiple HRM or HRD functions, such as recruitment, training, compensation and benefits, payroll and welfare.",21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/84#job-des,30000.0
160,Human Resources Manager,"Develop and implement HR policies and procedures. Responsible for the overall HR function such as recruitment, compensation and benefits and performance evaluation. Provide overall supervision for HR department.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00006/85#job-des,115000.0
161,Payroll Officer,"Calculate time attendance and appropriate deductions, such as pension payments, etc. Process  employees’ salaries and wages payment.",21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/123#job-des,30000.0
162,Recruitment Officer,"Perform recruitment process, including sourcing, recruiting, selecting and hiring across all levels.",21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/155#job-des,30000.0
163,Safety Officer,Monitor and control work environment and in charge of safety activities. Consider and provide permission on working methodology to other departments.,21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/162#job-des,30000.0
164,Senior Human Resources Executive / Officer,"Provide hands-on support in all HR functions, including recruitment & selection, compensation & benefits, and employee relations & communication.",-1,35000.0,50000.0,https://adecco.co.th/salary-guide/2019/00006/183#job-des,35000.0
165,Senior Human Resources Manager,"Oversee all HR functions, including recruitment, compensation & benefits, organizational development, employee relations and talent management.",-1,-1,160000.0,https://adecco.co.th/salary-guide/2019/00006/184#job-des,160000.0
166,Trainer,"Train employees on the information they need to know in order to get their job done effectively. Work in a professional setting, while helping and motivating others to learn new skills. ",-1,32500.0,65000.0,https://adecco.co.th/salary-guide/2019/00006/384#job-des,32500.0
167,Training Executive / Officer,"Administer training activities, prepare training plan and budget, and arrange all training. Liaise between HR and Campus activity section.",21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00006/225#job-des,30000.0
168,Training Manager,"Identify training needs, plan and organize internal and external training programs. Organize training plan and budget. Responsible for training activities, for both soft skills and technical skills.",-1,-1,90000.0,https://adecco.co.th/salary-guide/2019/00006/226#job-des,90000.0
169,Assistant IT Manager,"Assign IT Staff daily jobs and check ""to-do"" lists.  Provide training on all required theoretical and practical procedures.   Troubleshoot and provide support under corporate standards.  Document and archive all correspondence and retain a record of troubleshoot related matters.  Follow up with suppliers’ visits and maintenance.  Develop and adapt any ideas that bring IT services to higher level. Assist existing/new units when it is required, with approval of IT Manager.",-1,-1,65000.0,https://adecco.co.th/salary-guide/2019/00007/365#job-des,65000.0
170,AVP - Information Technology,"Support and accelerate key business processes.  Define business metrics and the information requirements for decision making based on strategic plans.  Continuously assess current technology, effectiveness of current architecture and value of IT spending.  Align IT spending to specific business goals. Continuously improve asset management of IT.  Measure and improve return on IT investment.  Ensure highest standards of information security and reduce system vulnerability.",-1,-1,100000.0,https://adecco.co.th/salary-guide/2019/00007/360#job-des,100000.0
171,Back End Developer,"Program, Code server-side web application, Connect stored database through the web application and ensure that databased can be accessed. Debug the web application to improve web quality. Work with the front-end developer to ensure web application usability.",27500.0,42500.0,67500.0,https://adecco.co.th/salary-guide/2019/00007/421#job-des,42500.0
172,Business Intelligence Specialist,"Analyze business requirements and use data to figure out market and business trends for companies to support business decision-making processes, increase profits and efficiency.",-1,-1,75000.0,https://adecco.co.th/salary-guide/2019/00007/433#job-des,75000.0
173,CRM Consultant,Provide consultation and advice to clients regarding Customer Relationship Management (CRM) application package.,-1,47500.0,105000.0,https://adecco.co.th/salary-guide/2019/00007/350#job-des,47500.0
174,Data Center Manager / Infrastructure Manager,"Perform duties, including, but not limited to, production support, data processing, problem solution, monitoring, reporting and documentation, and make a significant impact on IT Infrastructure Operations group success.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00007/50#job-des,115000.0
175,Data Migration / Data Analyst (ETL),"Collect and study data to reveal ways to improve a business organization. Design, plan and manage the data migration process. Provide report to decision-makers and others affected by the results.",35000.0,50000.0,75000.0,https://adecco.co.th/salary-guide/2019/00007/428#job-des,50000.0
176,Data Scientist / Data Engineer,"Gather large data from various sources to create data infrastructure. Organize and analyze data to find solutions or implementations to support business’s strategy and goals, Apply machine learning to predict future performance for creating product and service.",37500.0,65000.0,120000.0,https://adecco.co.th/salary-guide/2019/00007/417#job-des,65000.0
177,Data Warehouse Consultant,"Develop database architecture, extract data, and prepare reports for the executive level of the company. Must have good knowledge of databases, data warehouse and data mining.",37500.0,55000.0,130000.0,https://adecco.co.th/salary-guide/2019/00007/52#job-des,55000.0
178,Database Administrator,Administer and monitor database server to maintain its stability and reliability.,20000.0,32500.0,50000.0,https://adecco.co.th/salary-guide/2019/00007/53#job-des,32500.0
179,Digital Content Editor / Content Creator / Social Media Content Editor,"Prior experience as a copy editor or production editor within an online environment. Write copy and generate original ideas for content for email newsletters, websites, and social media sites. Solid understanding of IT technologies and some knowledge of Content Management Systems (CMS). Previous experience in using HTML and Photoshop and some knowledge of basic web development.",-1,50000,60000.0,https://adecco.co.th/salary-guide/2019/00007/228#job-des,50000
180,Digital Marketing Analyst,Conduct online marketing efforts and create articles and contents for clients. Develop and improve cmnpany's digital marketing strategy. Develop and maintain online presence and brand recognition on websites and landing pages.,-1,-1,70000.0,https://adecco.co.th/salary-guide/2019/00007/241#job-des,70000.0
181,Digital Marketing Manager,Oversee online marketing efforts and create articles and contents for clients. Manage online marketing team.,-1,-1,90000.0,https://adecco.co.th/salary-guide/2019/00007/242#job-des,90000.0
182,E-Commerce Manager,"Identify, plan an organization’s E-Commerce goals. Develop an e-commerce strategy to drive online sales, using tools such as SEO, CMS, Social Media, Email marketing. Create online activity to encourage customer to buy product or service. Plan and Control budget for online advertisement. Coordinate efforts across all IT functions to support company’s business strategy.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00007/418#job-des,115000.0
183,ERP Consultant,"Provide consultation and advice to clients regarding Enterprise Resources Planning (ERP) application packages, e.g. Finance, Accounting, Logistics and Sales and Distribution modules.",-1,50000.0,95000.0,https://adecco.co.th/salary-guide/2019/00007/60#job-des,50000.0
184,Front End Developer,"Create website sitemap and workflow based on User Experience concept. Design, develop web application interface from the requirement. Test the usability of the web application to collect user’s feedback and create an implementation plan and ensure the ease of use of web application.",27500.0,50000.0,92500.0,https://adecco.co.th/salary-guide/2019/00007/420#job-des,50000.0
185,Full Stack Developer,"Design website interface and framework. Develop front-end and back-end by coding several programming languages such as HTML, JavaScript, PHP, CSS etc. Ensure and Recheck about website quality such as data protection and security, web app responsiveness, debugging, improvement, and maintenance etc.",30000.0,50000.0,92500.0,https://adecco.co.th/salary-guide/2019/00007/422#job-des,50000.0
186,Graphic Designer,"Create various types of art design for magazines, newspapers, advertising publications, marketing and promotional materials, signs, web pages, and much more. Most of the art is created through the use of computerized design programs, such as Adobe Suite.",20000.0,40000.0,55000.0,https://adecco.co.th/salary-guide/2019/00007/275#job-des,40000.0
187,Help-Desk Support,"Answer, resolve and/or escalate all calls routed through the Groups Help Desk system. Provide courteous service to all Group IT customers via  telephone whilst ensuring that all company standards are adhered too. Provide day-to-day operational support and on call support when required for IT users on a group site or remote sites within a region, covering hardware, software and local and wide area network.",16500.0,25000.0,37500.0,https://adecco.co.th/salary-guide/2019/00007/351#job-des,25000.0
188,Industrial Business Analyst,"Review, modify and recommend business requirements to be applied to company databases and system applications.",-1,38000.0,76500.0,https://adecco.co.th/salary-guide/2019/00007/297#job-des,38000.0
189,IT Application Support,"Provide support to end users about how to use various types of software programs efficiently and effectively in fulfilling business objectives. This includes troubleshooting applications and software for all internal customers, such as operations, development and other business units. Assist in the design, delivery and improvement of in-house software applications training programs and related courseware.",20000.0,32500.0,45000.0,https://adecco.co.th/salary-guide/2019/00007/265#job-des,32500.0
190,IT Auditor,"Review company's IT management to determine company standards in place for system development, IT operations and overall information security. Provide suggestions on compliance with regulatory and procedural IT issues, and ensure that there are adequate controls maintained over all aspects of the IT environment",-1,40000.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/246#job-des,40000.0
191,IT Director,Manage and implement company’s IT operational systems. Set and run software and hardware strategy in order to gain a competitive advantage for the company.,-1,-1,225000.0,https://adecco.co.th/salary-guide/2019/00007/94#job-des,225000.0
192,IT Manager,"Develop strategic plan for IT department. Oversee IT projects, such as IT budgets, standards procedures and overall IT performance. Coordinate between vendors, IT department and all users. Review the adequacy and allocation of IT resources in terms of funding,  personnel, equipment and service levels.",-1,-1,130000.0,https://adecco.co.th/salary-guide/2019/00007/95#job-des,130000.0
193,IT Marketing Manager,"Manage and initiate marketing strategies of IT products or IT services. Responsible for press relations, develop marketing campaigns and deliver meaningful messages and visions of the company to consumers.",-1,-1,130000.0,https://adecco.co.th/salary-guide/2019/00007/352#job-des,130000.0
194,IT Security Analyst / Engineer,"In charge of Information Security Management function. Responsible for design, implementation, operation and maintenance of the Information Security Management System. Perform a suitable information security awareness and security risk assessment. Get involved in compliance monitoring and improvement activities to ensure compliance with internal security policies.",21500.0,37500.0,42500.0,https://adecco.co.th/salary-guide/2019/00007/244#job-des,37500.0
195,IT Security Manager,"Manage the implementation of corporate policies, programs, and procedures to cost-effectively protect information systems assets from intentional or inadvertent modification, disclosure or destruction. Develop, maintain, publish, and enforce corporate information security standards and guidelines encompassing data and intellectual security.",-1,-1,55000.0,https://adecco.co.th/salary-guide/2019/00007/245#job-des,55000.0
196,IT Support,"Maintain, monitor and perform IT troubleshooting for end users.",20000.0,30000.0,45000.0,https://adecco.co.th/salary-guide/2019/00007/96#job-des,30000.0
197,Network Administrator,Administer and monitor network to maintain its stability and reliability.,19000.0,32500.0,62500.0,https://adecco.co.th/salary-guide/2019/00007/118#job-des,32500.0
198,Network Engineer,"Design and implement network infrastructure, including WAN, wireless network, routers, and switches to ensure that business’s requirements and security are met. ",-1,50000.0,72500.0,https://adecco.co.th/salary-guide/2019/00007/119#job-des,50000.0
199,Operations Director / VP,Set and deploy policy/strategy for operations. Manage and supervise overall operations to achieve company’s objectives. Coordinate with other departments in any related areas.,-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00007/122#job-des,125000.0
200,Pre-Sales Consultant,Assist sales team by providing technical support and demonstrating products in order to deliver the best solutions to clients.,26500.0,37500.0,60000.0,https://adecco.co.th/salary-guide/2019/00007/128#job-des,37500.0
201,Product Manager (IT),"Oversee planning, strategic marketing, system implementation of activities and budget allocation for assigned products.",-1,-1,82500.0,https://adecco.co.th/salary-guide/2019/00007/353#job-des,82500.0
202,Programmer,Responsible for developing and designing applications and Coding. Deal with technical issues related to developments.,19000.0,32500.0,52500.0,https://adecco.co.th/salary-guide/2019/00007/137#job-des,32500.0
203,Programmer / Software Developer (.NET),"Responsible for Application Framework Design and Coding using Microsoft .net technology (ASP.NET,C#, VB.NET). Manage technical issues under development environment.",22500.0,45000.0,90000.0,https://adecco.co.th/salary-guide/2019/00007/233#job-des,45000.0
204,Programmer / Software Developer (ABAP),Understand client requirements and utilize ABAP tools to meet client expectations. Develop ABAP programming in project implementation as a team member. Support customers after successful implementation,25000.0,45000.0,75000.0,https://adecco.co.th/salary-guide/2019/00007/238#job-des,45000.0
205,"Programmer / Software Developer (C, C++)","Responsible for Application Framework Design and Coding using C,C++ . Manage technical issues under development environment.",22500.0,45000.0,90000.0,https://adecco.co.th/salary-guide/2019/00007/232#job-des,45000.0
206,Programmer / Software Developer (JAVA),Responsible for Application Framework Design and Coding using JAVA technology. Manage technical issues under development environment.,20000.0,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/237#job-des,37500.0
207,Programmer / Software Developer (Mobile Applications),"Develop applications on mobile phones according to customer business requirement on mobile platforms e.g. iOS, Android, Blackberry, Windows Mobile and Symbian.",21500.0,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/236#job-des,37500.0
208,Programmer / Software Developer (ORACLE PL/SQL),"Responsible for design, development, implement and support software applications. Prepare technical documentation as required.",22500.0,45000.0,90000.0,https://adecco.co.th/salary-guide/2019/00007/235#job-des,45000.0
209,Programmer / Software Developer (PHP),Responsible for PHP programming to produce Data Flow.  Design and develop Web Application on the website. Design and develop other Programming on the website.,20000.0,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/234#job-des,37500.0
210,Programmer / Software Developer (Specific Applications),Responsible for Application Framework Design and Coding using specific application. Manage technical issues under development environment.,20000.0,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/239#job-des,37500.0
211,Project Manager,"Oversee projects and in charge of budgets controlling, work plans and all project management procedures.",-1,-1,120000.0,https://adecco.co.th/salary-guide/2019/00007/139#job-des,120000.0
212,QA Engineer / Software Tester,Create test cases and perform testing to ensure software standardization.,30000.0,52500.0,110000.0,https://adecco.co.th/salary-guide/2019/00007/150#job-des,52500.0
213,Sales Director (IT),Direct all sales activities within the company and ensure the company’s sales growth. Develop and execute strategic plan to achieve sales targets and expand customer base. Generate new sales opportunities and provide IT solutions based on customer needs.,-1,-1,250000.0,https://adecco.co.th/salary-guide/2019/00007/425#job-des,250000.0
214,Sales Executive / Officer (Technical),Sell technical products and services to boost profitability and increase market share. Provide support to increase products understanding.,-1,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/380#job-des,37500.0
215,Sales IT,"Get involved in supporting pre-sales activities by giving detailed information about technical specifications and the ways in which they could meet customer needs, including demonstrate product's features before selling. Provide technical support, which follows the sales, may include problems solving or maximizing the use of software features, as well as advising on appropriate user training.",-1,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/269#job-des,37500.0
216,Sales Manager (IT),Achieve sales over target.  Responsible for product selling.  Implement field force strategic planner and Business environment training. Work coordinately with Marketing team to implement the marketing programs.,-1,-1,80000.0,https://adecco.co.th/salary-guide/2019/00007/324#job-des,80000.0
217,SAP Consultant,Provide functional or technical advice on the implementation of SAP. Must have business process and IT knowledge.,-1,-1,105000.0,https://adecco.co.th/salary-guide/2019/00007/175#job-des,105000.0
218,Senior Project Manager,"Plan and execute capital investment projects in order to expand production capacity, improve process efficiency, improve product quality and maintain compliance with all legal and SHEQ requirements.",-1,90000.0,-1,https://adecco.co.th/salary-guide/2019/00007/196#job-des,90000.0
219,SEO /SEM Specialist,"Manage and execute all SEO/SEM activities such as content strategy, digital campaigns, link building, keyword strategy to improve accessibility, visibility, ranking and relevance in all major search engines.",30000.0,45000.0,82500.0,https://adecco.co.th/salary-guide/2019/00007/419#job-des,45000.0
220,Software / Solutions Architect,"Set strategies and working plans for IT systems or software development that conform with business strategies, business needs and company IT architecture.",-1,-1,120000.0,https://adecco.co.th/salary-guide/2019/00007/209#job-des,120000.0
221,Software development and Software operation (Dev Opt ),"Responsible for continuous development, testing, integration, deployment, and monitoring throughout its development life cycle to optimize outcomes and improve quality of the software.",22500.0,45000.0,90000.0,https://adecco.co.th/salary-guide/2019/00007/423#job-des,45000.0
222,Software Engineer,"Develop software and applications, starting from analysis, design, coding, testing and training users.",21500.0,32500.0,60000.0,https://adecco.co.th/salary-guide/2019/00007/210#job-des,32500.0
223,Software Quality Assurance Manager,Monitor and test software to ensure that quality follows the software standardization.,-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00007/267#job-des,110000.0
224,System Administrator,Administer and monitor servers and data center to maintain system stability and reliability.,20000.0,35000.0,60000.0,https://adecco.co.th/salary-guide/2019/00007/216#job-des,35000.0
225,System Analyst / Business Analyst,"Perform system feasibility studies, analyse and design system to meet users requirements. Work closely with programmers and software engineers.",22500.0,45000.0,70000.0,https://adecco.co.th/salary-guide/2019/00007/217#job-des,45000.0
226,System Consultant Manager,Responsible for Post-Sales based on customer requirements.,50000,85000.0,115000.0,https://adecco.co.th/salary-guide/2019/00007/218#job-des,85000.0
227,System Engineer,"Analyze, design and provide configuration of server systems to clients.",22500.0,37500.0,55000.0,https://adecco.co.th/salary-guide/2019/00007/219#job-des,37500.0
228,Technical Consultant,"Understand technical aspects of all products and solutions of the company. Design, deploy and perform on-going administration and troubleshooting of the systems.",-1,47500.0,80000.0,https://adecco.co.th/salary-guide/2019/00007/221#job-des,47500.0
229,Technical Service Manager,"Oversee installation, setting up, testing and commissioning of products. Manage preventive maintenance and calibration plan. Provide solutions to customers where appropriate.",-1,-1,90000.0,https://adecco.co.th/salary-guide/2019/00007/272#job-des,90000.0
230,UX/UI Designer,"Collaborate with product management and engineering to define and implement innovative solutions for the product direction, visuals and experience. Execute all visual design stages from concept to final hand-off to engineering. Create wireframes, storyboards, user flows, process flows and application site maps to effectively communicate interaction and design ideas.  Present and defend designs and key milestone deliverables to peers and executive level stakeholders.  Conduct user research and evaluate user feedback.  Establish and promote design guidelines, best practices and standards.",25000.0,37500.0,65000.0,https://adecco.co.th/salary-guide/2019/00007/416#job-des,37500.0
231,Web Designer,Design and develop website contents by using multimedia tools.,20000.0,37500.0,60000.0,https://adecco.co.th/salary-guide/2019/00007/229#job-des,37500.0
232,Webmaster,"Implement web pages, maintain content and oversee day-to-day management of the company website. Ensure quality and filing integrity of web pages.",-1,40000.0,-1,https://adecco.co.th/salary-guide/2019/00007/240#job-des,40000.0
233,Company Secretary,Ensure that company complies with standard financial and legal practice and maintains standards of corporate governance. Act as a point of communication between the board of directors and company shareholders.  Prepare company procedures and developments reports in a timely and accurate manner.,-1,50000.0,65000.0,https://adecco.co.th/salary-guide/2019/00008/335#job-des,50000.0
234,Compliance Manager,"Design and implement programs, policies, and practices to ensure that all business units are in compliance with regulatory requirements. Update laws and regulations that might affect the organization’s policies. Prepare compliance reports to management.",-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00008/251#job-des,110000.0
235,Compliance Officer,Monitor and ensure all business units comply with Bank & BOT regulations.,24500.0,40000.0,-1,https://adecco.co.th/salary-guide/2019/00008/35#job-des,40000.0
236,Contract Administrator,"Prepare, examine, analyze, negotiate, and revise contracts related to purchase or sales of goods or services, such as equipment, materials, supplies, or products.",21500.0,30000.0,-1,https://adecco.co.th/salary-guide/2019/00008/260#job-des,30000.0
237,Internal Auditor,"Conduct audits to verify accuracy of records and in compliance with standards, policies and procedures. Compile audit findings and recommendations to modify and improve systems and procedures.",21500.0,32500.0,55000.0,https://adecco.co.th/salary-guide/2019/00008/92#job-des,32500.0
238,Lawyer (Attorney),"Advise clients, interpret laws, rules and regulations, analyze probable outcomes based on legal precedents, develop strategies and evaluate findings. Conduct research and gather evidence, have a thorough knowledge of the decisions, ordinances and statutes of the matter under review.  Prepare and draft documents, legal briefs and opinions. Act as an agent for their client.",-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00008/389#job-des,110000.0
239,Legal Consultant / Specialist,Perform administrative functions and provide support to related departments. Provide legal related document support for related departments.,-1,37500.0,60000.0,https://adecco.co.th/salary-guide/2019/00008/341#job-des,37500.0
240,Legal Manager,"Draft and review contracts, agreements, corporate documentation (including notice and minutes of board of directors meeting and shareholders meeting) of the public company and limited company.",-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00008/254#job-des,110000.0
241,Legal Officer,"View, interpret and decipher legal documents. Work within government legal departments, as a counsel for corporations, and within profit and non-profit organizations.",21500.0,32500.0,-1,https://adecco.co.th/salary-guide/2019/00008/390#job-des,32500.0
242,Regulatory Affairs Manager,"Manage and supervise team in regulatory affairs duties, including product registration, preparing product information and submitting registration documents to government agencies.",-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00008/157#job-des,110000.0
243,Senior Compliance Manager,Ensure all business units comply with company's policy.,-1,-1,165000.0,https://adecco.co.th/salary-guide/2019/00008/181#job-des,165000.0
