idx,pos_en,jd_en
877,System Engineer,"Design, Implement and Support IT middleware infrastructure (Web, Application, Database).Research new technology about IT middleware infrastructure (Web, Application, Database).           Design, Implement and Support IT Container technology.           Research new technology about IT Container technology."
878,Supervisor,"- monitoring and maintenance utilities such as electricity and water inside and outside the building to its normal state. And available at all times - check communication systems such as telephone, Internet, CCTV run regularly - check the various alarms. To work effectively As well as provide training for escape - scheduling and tracking repair technicians, according to co-owner notification - provides services and assistance to residents with mental services - other tasks as assigned."
879,Marketing Chinese customers,- Conducting marketing communications with Chinese customers.
880,Procurement Officer,"- management, planning, purchasing equipment, construction and raw materials for compliance with the plan of construction - defined methods and procedures and in procurement - to negotiate with the seller, the price of a property right - Development and. team to enhance performance."
881,Condo Manager,"1) Experienced Executive Condominium General Administration of Laws Operational control to the administration building, 2) maintain operational control of 2.1. Check out the duties of housekeeping staff 2.2. Monitor the performance of security staff 2.3. Check out the duties of all employees, contractors, 3) management of documents / materials / equipment 4) maintenance and repair of the common property. To maintain good 4.1 Monitoring systems, water pumps, drainage system, sewage system 4.2. Transformer Monitoring And emergency power system of the building, 4.3. Monitoring systems, lighting The condominium 5) monitor and control the relevant regulatory compliance. The use of common property 6) alignment system to monitor and evaluate the performance of employees 7) to perform other tasks. According to the assigned"
882,Accountant (Real estate),"• Practice Account (One earned - paying leg) of Subsidiaries •. Documentation and the debt repayment •. Cost accounting for the disbursement and cleared Pretty Cash Advances •. Verify the accuracy of the accounting records of costs and revenues, as well as preparing detailed monthly financial statements •. Tax preparation, such as PND. 2, 3, 53, the Worlds. 30, according to the regulations of the law."
883,Assistant Restaurant Manager (Thaniya Silom branch) Urgent !!!,- Responsible for the neatness of the staff in the restaurant. Both the dress And Services - cleaning shop and order inside the store - carry out the preparation. And a clean restaurant is open or closed.
884,Supervisor / Full Time (CP Silom branch) Urgent !!!,- Responsible for the neatness of the staff in the restaurant. Both the dress And Services - cleaning shop and order inside the store - carry out the preparation. And a clean restaurant is open or closed.
885,Senior Procurement Officer,"1. coordinating the procurement activities associated with the project for two. Supplier sourcing to procurement 3. Collect data to compare the data for payment and other documents 4. PR, PO and receipt. According to the method of operation 5. The progress of the project and report to supervisors 6. Preparatory meetings And concluded 7 minutes. Coordination with other agencies Both inside and outside the company"
886,Warehouse Supervisor (Thailand Phutthamonthon 7) very quick.,"Control / Audit The practice of the department to comply with the time frame and plan / report. And audit work plan for workers / report to the audit plan the delivery of property, equipment monitors, property, equipment, inventory monitoring, materials and delivery department inspection. Delivery of property, equipment and inspection of property and equipment Stock packet inspection to monitor the delivery of property, equipment and preparation before filing the return on assets. Jilin formwork equipment"
889,Assistant store manager training Mister Donut Paradise Park.,"1. Responsible Management Branch 2. Cost control branch 3. Manage inventory inquiry ID Line: tiya.dear following information: 1. Name - Last name / phone number, age 2. 3. 4. The ability to work 5. 6. shoot straight to the news. jobs"
890,Remote Engineer (Chachoengsao),"Onsite operational areas In the province of responsibilities • Installation and application systems, ATM machines and ADM • analyze symptoms, repair and replacement of the ATM machine problems • PM (Preventive Maintenance) maintenance check of the machine. ATM and ADM • manage assigned. In the area of ​​responsibility •. Liaise between the team and the customers do not have to enter the office • •. Use private cars to work office hours, Monday - Friday from 08:00 to 17:00 hrs."
891,CAD Engineer (1 Positions),"- Design or Creating the product as customer needs,Including mold design and checking figure - Create the 3D Modeling , rotate to check all dimension and check the instruction- Make 2d data or Drawing - Edit the files and design- List all deviation in the job- Modelling EDM / Mold"
892,CAD Engineer Support (1 Positions),"- Design or Creating the product as customer needs,Including mold design and checking figure - Create the 3D Modeling , rotate to check all dimension and check the instruction- Make 2d data or Drawing - Edit the files and design- List all deviation in the job- Modelling EDM / Mold"
893,"CRM Data scientist@Robinson Rama 9 , HEAD OFFICE","- Perform exploratory data analysis to find new insights that make better decision on customer relationship, sales & promotion, and other new initiatives- Utilize statistics and machine learning techniques, such as logistic regression,decision tree, clustering, scoring etc.on complex data, and convert the results into business framework that helps enhance customer experience and business competitiveness.- Effectively communicate insights to non-technical team,such as marketing,MDSG,OMNI Channel and included ability to design dashboard/tracking report,PowerPoint,Excel worksheet, and present them in meetings.- Other ad-hoc analysis as requested from other team."
894,marketing officer,- Contact open to companies in the industrial neighborhoods - marketing and Social Media - a promotion or new campaigns. To increase the number of patients who come for treatment - other tasks as assigned.
895,Sales Engineer,To propose company business planning and marketing strategy.Responsible for sale and marketing activities to achieve target.Manage accounts to increase sales volume in assigned areas.Evaluate customer needs and market competition.Inventory management for customers if required.Responsible for sales forecast and market intelligence in assigned areas.
896,System Analyst (Saturday - Sunday).,1. POS systems management of all branches of Sparsha group2. Administer ERP system used within an organization. By guiding users encounter problems if the 3. Analysis and Design To further the performance of the system in all four organizations. Control of the development team to achieve the objectives of the Project and the organization wants Requirement on the user correctly.
897,Air-Import Manager (Suvarnabhumi branch),"•Contact and cooperate with customer in order to prepare all related document for import shipment•Contact and cooperate with overseas agent for shipment arrangement.•Support and give direction of Business Strategy , Sales and Marketing , Etc.•Financial billing process, issue invoice, credit note, cost control.•Monitoring shipment, milestone status and KPI compliance.•Complete job file to generate financial result of the shipment in time line.•Keep good customer relationship and provide the best service to meet customer requirement.•To handle all complaints efficiently and satisfactorily with clear and concise communication.•Provide additional services above and beyond the call of duties•Assist Sales activities such as rates, visits, reports etc.•To be able to deal with overseas offices with clear communication.•To be proactive in resolving issues and problems before they occur.•Supervision the whole operation Matters • Monitoring problems and issues and promptly reporting to General Manager and Ass.GM. •  Coordinate with government agencies related.•   Can control and motivation with 50 staff in Air – Import Section well•   Educate all KLL Air – Import staff in quality Improvement•   Etc.."
898,HR Manager,"JOB DESCRIPTIONOperating in 24 countries globally with over 1,500 staff, Cartrack is creating revolutionary platforms that will change the industry. As one of the most innovative and fastest growing telematics companies in the world, we are on track to reach 1 million subscribers, serving consumers, businessses and governments to improve efficiency, safety, security and the environment.Behind the growth of our business is the state-of-the-art technology creating data-driven solutions personalized to the needs of our clients, providing insights, superior customer experiences, operational excellence and business competitiveness. As we continue to grow globally, our people are will always be our biggest asset, where we continue to bring together the best talent and help them achieve their own career aspirations in a truly global company. Reporting to Regional HR Manager, the HR Manager provides HR support to our growing business. In this role, you will act as the resource to provide guidance and support to business leaders and staff. ROLE RESPONSIBILITIES  •Implement the people agenda and handle HR operations, from recruitment, on-boarding, immigration, compensation and benefits, employee communication, performance management, learning and development, welfare and regulatory affairs.•Maintain and update employees and employment records, administer staff leave, insurance and expense claims, and implement performance reviews.•Develop, review, improve and standardize HR processes and conduct data analysis with timely reporting. Support compensation and benefits activites such as salary review, short-term incentives and promotion cycle.•Attend to employee queries on HR related issues, ensuring internal customer satisfaction."
899,Corporate Trainer,"•Provide in-depth quality training to all internal and external clients at their designated location•Maintain effective communication with clients to establish training needs •Evaluate the effectiveness of training and propose changes to training materials as appropriate •Schedule and manage own time to meet the customer requirements •Assist with the facilitation of induction training (fleet) •Assist to provide with fleet technical knowledge, skills and understanding of fleet products •Travel nationally / internationally for purposes of delivering fleet training •Conduct and evaluate follow up assessments of fleet and recommend solutions to the stakeholders upon completion of training•Coordinate with Support team on all system configuration like sensors, user access & etc•Make report for any abnormalities functions in Fleet page to support team"
900,Regional Digital Marketing Manager,"•Develop campaign KPI’s and monitor each campaign's performance against goals to implement optimization. (Facebook Ads, Google Ads, SEO, Chatbot) •Ensure and maximize ROI or ROAS for each on daily basis.•Responsible for executing, managing and optimizing cross-device programmatic media campaigns to obtain the highest possible ROI.•Own and communicate marketing results and effectiveness of campaigns and programs by effectively monitoring and reporting on metrics and taking corrective actions to achieve marketing objectives•Work with Sales, Tele sales, Channel and internal teams to ensure the lead quality that we bought for each digital marketing channel.•Analyze performance data to create, investigate, and test hypotheses used to identify meaningful patterns in large, multidimensional datasets and contribute to strategic roadmaps for our clients•Combine audience analytics, seasonality insights, industry trends, and client feedback to configure, operate and develop effective account strategy that maximizes campaign performance and increases revenue growth."
901,Assistant store manager trainee Auntie anne's / Mister Donut Cosmo Arena.,"1. Responsible Management Branch 2. Cost control branch 3. Manage inventory inquiry ID Line: tiya.dear following information: 1. Name - Last name / phone number, age 2. 3. 4. The ability to work 5. 6. shoot straight to the news. jobs"
902,Administrative Assistant (Executive Secretary),"- Liaise internally And outside the company - Track events. The delegates - managers schedule appointments of executives - a rapporteur to management - prepare the agenda - Coordinate appointments with customers, management - storage market. And recording sessions for administrators - acting on the advice of an interactive document management."
903,Business Development,"•Identify potential clients in the target market and complete appropriate research on the prospective client’s business and equipment needs•Develop relationships with prospective clients, while maintaining existing client relationships•Partner with sales teams to create contract-winning proposals for current and prospective clients•Negotiate contract terms with clients and communicate terms to stakeholders•Collaborate with design and production teams to ensure contracted product specifications are executed on-time and as agreed"
904,Sales Manager,"•Determine annual unit and gross-profit plans by implementing marketing strategies; analyzing trends and results•Maintain sales volume, product mix and selling price by keeping current with supply and demand, changing trends, economic indicators and competitors•Contribute to team effort by accomplishing related results as needed•Plan to ensure achievement of divisional and personal target, aligning with company sales policies and strategies•Manage, develop, coach, control and motivate the sales force to develop their skill to ensure that a high professional standard is achieved and monthly sales target and KPI target are met•Ensure targets are delivered through people management, performance review, reward and individual recognition•Assess the strengths and weaknesses of the sales team and manage the sales program accordingly•Meet with customers to discuss their evolving needs and to assess the quality of our company’s relationship with them•Develop and implement new sales initiatives, strategies and programs to capture key demographics•Develop, maintain and execute a territory plan•Continually assess current business distribution channels, develop and evaluate their performance and manage conflict ensuring alignment with territory plans•Maintain data relative to partners, accounts and activities and will document customer interactions•Prepare reporting as needed"
905,One Day Interview - customer service by telephone (Call Center).,"Saturday, March 23, 2562 at 08:30 to 14:00 hrs. At TMB Headquarters Road Location: AIA Capital Building, Ratchadaphisek Road near MRT Cultural Center Job Description: - information services. Advice on product Telephone banking and financial services - to work with the staff TMB- money - bonuses, performance - better welfare."
906,Chief Executive,"Recruitment and selection, training and development officer in charge of the planned annual training to apply for authorization to work part time. (OT) care leave (sick leave and vacation leave, etc.) and recorded a record turnover and record documents within the department liaise with external agencies."
907,Sale Support Senior Supervisor,"Planning & Managing Leader Meeting: ABOC, Diamond, Platinum Forum and Special Events (cooperation with Business Coordination & Leader Growth Solutions (LGS) teams.Support Regional Pin Presentation etc.Control Budget.Provide & Support information/data for Business Coordination & LGS teams.Propose new ideas to improve the event planning and implementation process.Coordinate on-site arrangements for all meetings and events ."
908,Assistant Accounting Manager,"1. Costing2. Supervise and control work3. System and procedure of factory4. Office, purchasing, stock control5. HR and administration"
909,Assistant store manager trainee Mister Donut Branch Food truck Nava.,"1. Responsible Management Branch 2. Cost control branch 3. Manage inventory inquiry ID Line: tiya.dear following information: 1. Name - Last name / phone number, age 2. 3. 4. The ability to work 5. 6. shoot straight to the news. jobs"
910,Head of Maintenance (Thailand Bangsai. Ayutthaya).,"- Control Machining And parts and construction machinery - planning to implementation in each area - distributed daily repair work to subordinates. And results of operations - monitoring the execution of the tasks assigned - to control the implementation of coordinated procurement - purchasing management data. Procurement of maintenance work on the plant - planned to run daily / weekly - allocation and distribution of work - repairs, planning supervisor. The manager is planning, together with the other parties."
911,Assistant Human Resources Manager (Headquarters Rama 4),"- Provide Training need survey, preparation of training plans. And implement a human resource development plan - designed and prepared the training course. Including strategy development - planned organizational development. And capacity building of staff (Training roadmap, Competency, Career path development) - co-sponsored events, corporate communications staff. And strengthen relationships within the organization - the evaluation and development of Competency and prepared IDP- communication and strengthen corporate culture."
912,Head Tracking (Thailand Bangsai. Ayutthaya).,"- plans to do simple daily / weekly - Plan Thok he operates in each carpet - allocation and distribution of repair work - coordinating the procurement of spare parts and equipment to be enough - Prepare a fire, electrical and instrumentation. enough - monitoring the execution of the tasks assigned - control by Jim maintenance plan - Jim followed the work of subordinates - consultation Statement. Access to information - knowledge and expertise - to perform other tasks. Assigned"
913,Senior International Marketing (Headquarters Rama 4),"- joint planning overseas markets to meet the goals and policies set - advice and product information to customers, prospects and current customers - planning, supervising operations, attending fairs of Foreign Affairs - to analyze and solve problems. What happens to the marketing department to work abroad - learn vegetable oil market. Similar Products Analyze and summarize information - other tasks as assigned."
914,Operator and Admin officer,"- Responsible for general administrative work. - Perform general secretarial tasks and administrative support. - Responsible for preparing documents in the department.- Support Company activities in order to employee relations such as company trip.  - Welcomes visitors by greeting them, in person or on the telephone; answering or referring inquiries. - Provide information to callers, take and relay messages.- Direct visitors by maintaining employee and department directories; giving instructions.- Perform other related duties as assigned by General Office Director."
915,Team Manager for Personal Loan (Direct Sales).,• Management team within the sales agent in the sale of personal loans (Personal Loan) • bank as a financial adviser about the details of personal loans (Personal Loan) and offering loan products. And the Service • Expand customer base And banking products targeted to receive •. Out visits and follow-up care To understand the problems of the service to improve •. Marketing planning and marketing activities to promote the sale of products to meet the goals that are •. The group plans to expand to new markets / customers to add new sales channels •. Guidelines worked for the agency within the team. To make the work go smoothly.
916,"Account Executive  (HORECA , Food Service,FMCG)","• Care and products to meet the goals •. Contact our regular customers To build a good relationship continued •. Check the product page and the promotion of competition in the market on a regular basis •. Offer new products to be sold in the market. Both assignments and other products that are not available in the customer care. To be competitive in the market •. The customer sales in each region and sales analysis, and report to their superiors know •. Check order and return the product to be accurate. Before forwarding to the relevant •. Planning the list in accordance with the market situation. To stimulate sales and discourage competition •. Negotiations with the partners. Issues The best interests of the company •. Share ideas for other ways that can help increase sales and improve the customer care they have."
917,Assistant Marketing Manager(Assistant Product Manager),"1. Take care of marketing and sales assignments, track and analyze sales figures 2. 3. monitoring and analyzing the activities of competitors in the market 4. Coordinate with the plant in a matter of having the product ready for sale and 5. preparation of advertising materials and marketing materials to support sales 6. Coordinate with sales and services. Involved in marketing activities."
918,Engineer New Model,"Responsible for New Model Development and Quality Improvement. Project leader of APQP Team. Productivity improvement and root cause analysis with take countermeasure in case of quality issues. Set up plan and prepare material, machine, equipment and working procedure for production trial stage. Prepare sample and concern document (PPAP) to get approval from customer before start mass production."
919,New product development technician / mechanic injection. (Experienced plastic injection).,"1) Responsible for experimental production The injection molding process is essentially 2) preparing materials and inventions. Or contractors to provide tools. Machines for manufacturing, 3) experiments in the production process involved in writing the report and propose solutions. And 4) analyze the problem To find solutions And Process Improvement And Quality of Products"
920,Public funding,"Help support the work of Office funds include the financing of the budget, including liquidity management. And management of financial risk. Under the regulatory guidance of supervisors as appropriate. To ensure the implementation of the administrative capital efficiency. Can finance the project in full, without experiencing liquidity problems. And can achieve the Strategic Plan's mission of NEDA. The policy of the Executive Office of Economic Development Cooperation with neighboring countries."
921,marketing,"- Storage of competitors ready to explore. Were analyzed for strengths and weaknesses. The marketing plan - Plan promotion. And marketing activities For every project towards sales are on target - to explore the area. Demand / Supply Side for various projects - including the development of a Campaign marketing plan to sell the project - coordinated in order Suppler Agency, as well as his present."
922,Managing business loans (Area of ​​Samut Sakhon),Managing sales teams in selling personal loans (Personal Loan) and loans for housing (Mortgage Loan) of the bank as a financial adviser about the details of personal loans (Personal Loan) and the credit for that. housing (Mortgage loan) and offering loan products. And the Bank's expanding customer base. And banking products targeted at getting off track visits and customer care. To understand the problems of the service to improve marketing planning and marketing activities to promote the sale of products to meet the target that has been planned expansion to new markets / customers to add new channels. guidelines for working with sales representatives within the team. To make the work go smoothly.
923,Sales manager for housing loans.,"• Contact Customer estate projects such as houses, condominiums and build a good relationship with the sales of the project • Planning and developing the sales channel credit to the housing to achieve the set goals • team management and sales representatives on site. team• Mortgage advice to customers more efficiently."
924,Internal Audit Manager,"1. Prepare annual audit plan Audit Program is an annual plan or a plan Year Plan period (Q.Plan) 2. Prescribing rules. The scope and approach Audit 3. Study guide, practice of the agency to review and prepare the Audit Checklist4. Coordinate and plan to inform all authorities acknowledge 5. Implementation / oversight monitoring system within six. The results of the audit and prepare a report with recommendations. To present the check to the executives."
925,"Operational Risk Management - NISSAN LEASING (THAILAND) CO., LTD (NLTH)","Working Location: Rajanakarn Building (BTS Chong Nonsi)Responsibilities:Plan, develop, implement and update operational risk management framework and policies to ensure all are operating properly with regulationsMonitor and control the company’s operational risk through risk assessment tools with appropriate ways for moving forward businessLead and facilitate operational risk activity and Control Self-Assessment (RCSA) for all department unit and track & monitor through Key Risk Indicators (KRIs) report, Loss & incident reports and provide recommended actions in appropriate way to the department unit.Prepare operational risk reports and present to management committee on regular basisProvide advice and coordinate with business units to eliminate or mitigate operational risksDevelop Business Continuity Plan (BCP) and related crisis management programs for critical business functionsConduct the test of BCP and other related crisis management programsAny other risk management related tasks as assigned by supervisor"
926,Chassis Engineer (R&D Function),"To design and develop of Chassis components(Wheel &Tire, Suspension System, Steering System and Brake System) for cost reduction, project and quality improvementCheck and approve supplier drawing detail Research for VA/VE ideas Issue, follow up, check and approve for necessary technical documents Consult and give suggestion for local part design change to local suppliers Cooperate with Nissan Motor Japan about parts localization Market requirement investigation"
927,"Dealer Floor Plan Audit Staff - NISSAN LEASING (THAILAND) CO., LTD (NLTH)","Working Location: Rajanakarn Building (BTS Chong Nonsi)As a Floor plan Audit you will conduct precise inventory audits for all floor plan relationships to verify dealer trust compliance and bank policy compliance. In addition, you will act as a support person for the dealer wholesale product. In this role you will be responsible for the following functions:Job Responsibilities:Audit Floor plan vehicle audit process covered both Nissan and Mitsubishi brands by coordinate with Nissan and Mitsubishi dealers, manufacturer and related partiesAudit and ensure audit activities to all dealership inventory comply company policy and procedures which includes physically inspecting all dealer vehicles for serial number, excessive wear, damage, location and date of saleConduct precise inventory audit activities for all Floor plan vehicle and specify purchaser, finance source and delivery date of vehicle soldMonitor all Floor plan vehicle stock to be conciselyPrepare and review inventory audit summary reports with dealer contact Submit audit results, including your Red Flags and concerns, for review by Audit Manager, credit and sales partnersPerform any other duties as assigned by supervisor"
928,"Collection Officer (Restructuring Team) - NISSAN LEASING (THAILAND) CO., LTD (NLTH)",Working Location: Rajanakarn Building (BTS Chong Nonsi)Job Responsibilities:Control to minimize the delinquent for achieve company’s target accounts and amountsCoordinate all related documents in each restructuring processMaintain good relationship and professional manner with customers by calling to verify and feedback payment result
929,"Marketing - Insurance Business & Campaign Strategy - NISSAN LEASING (THAILAND) CO., LTD (NLTH)","Working Location: Rajanakarn Building (BTS Chong Nonsi)Job Responsibilities:Analyze, initiate, design for insurance business improvement covered all strategy, product, campaign & promotion of financing, credit life, and motor insurance productMonitor and control quality of insurance business' sales volume compare with target and provide guidance on the countermeasurePrepare business and product analysis report for management teamProvide information, arrange training for Sales & Marketing team on product & financial campaign, incentive scheme, competitor analysis, other techniquesSupport any other assignments as assigned by Business & Product Development Manager"
930,"Collection Officer - NISSAN LEASING (THAILAND) CO., LTD (NLTH)","Working Location: Rajanakarn Building (BTS Chong Nonsi)Job Responsibilities:Set and plan strategies for collection team to achieve company’s target and process improvementManage, control, contact to the overdue customers to convince and provide solutions for customersMonitor performance of outside agency of collect and RepoProvide data support to outside agencySupervise and motivate outside agencyControl the documents to outside agency take to legal process"
931,R&D Engineer,"Work Location: Bangna-Trad km.22NMAP R&D Vision:NMAP R&D. We are developing vehicles in order to deliver emotional experience beyond customer’s expectation. With customer-oriented mind and open environment workplace, we research market, understand requirements, plan, feedback and co-develop with overseas R&D sites till requirements are realized into product.R&D Engineer Responsibilities:•Responsible for Research & Development in area of part development, part localization, cost analysis and quality development for Asia & Oceania Region•Participate in business conference regarding new model development, part localization, quality task team, etc.•Conduct market research, clarify and feedback regions' requirement•Coordinate with oversea R&D sites to develop vehicle, part and material to realize requirements,•Ensure product quality in all perspective, attractiveness and cost competitiveness, following required development milestones•Handle project or special tasks following business requirement"
932,"Floor Plan Financing Manager (Leasing / Hire purchase business) - NISSAN LEASING (THAILAND) CO., LTD (NLTH)","Working Location: Rajanakarn Building (BTS Chong Nonsi)Job Responsibilities:Manage all phases of Floor Plan operation and administration process consisting drawdown, settlement, and collectionMonitor and control dealers’ credit facilities and utilization facilities to enhance both Floor Plan and Retail financing business and review their payment performanceAnalyze dealers’ profiles by evaluating background in automotive business, financial performance, and comprehensive business planWork closely with Nissan Motor (Thailand) to enhance Floor Plan facilities and achieve target setting for increasing Floor Plan business volumeOptimize the risk as well as maximizing the revenue for the company, collaborate with risk department for evaluating risk assessment and dealer performance to ensure that dealer performance comply with company policy and criteriaWell manage Floor Plan contract and bank guarantee for all Nissan dealers and ensure comply with regulationHandling all administration process of audit activities i.e., preparing audit schedule, conduct physical audit activities by following audit schedule, summarize audit finding and result, and ensure supplementary and overdue unit are follow up promptlyControl and monitor sold out of trust issue (SOT), interest overdue, maturity unit, unallocated fund, and suspend itemManage and monitor data analysis report on dealer performance and also market information to identify risk and market opportunities, and recommend the appropriate marketing/product campaigns that meet dealer needs to support marketing and risk functions"
933,HR Staff- Manpower planning ( contract 6 months),"- Support and consolidate Headcount/Labor Cost data for Thailand Nissan Group and  prepare report. - Support to prepare company/department organization chart as well as related structure in Workday system and ensurecompleteness and consistency of all relevant data. - Handle scope of employee transfer, check document transfer form to completed 100% - Act as first point of contact for queries on all routine HR matters. - Prepare monthly reports and update month by month."
934,Strategic Planning Engineer/Staff (R&D function),"Organize R&D Business Plan review meeting, issue meeting minutes and prepare summary reportPrepare reports which relate to R&D function and strategic planning section Support ad-hoc assignment as request from executive in cooperation with internal and external parties to provide suitable and timely results"
935,Property Consultant (Residential Agent) - (place of work Phetchaburi MRT).,"For new customers, offer for sale / rent. Acting as an intermediary between the buyer / tenant and seller / lessor and condominiums. Other Real Estate Responsible for sales under the assigned contract documentation related to the purchase / sale / rental real estate appraisal and satisfaction. Or customer information on the decision to buy / rent. Property Report, tracking customers and sales reports weekly."
936,branch manager (Bangkok Time),"• Plan and formulate strategies to comply. And targets • Expand new customers And increased sales of products that have been the targets •. Monitoring customers with advice and financial advisory services to clients •. Marketing planning and marketing activities in accordance with the Bank's policy to promote products in retail packaging production and other financial and Cross Sell is on target to get a •. Out and visit customers to monitor and Cross Sell to the problem. Barriers to services to be adjusted •. Retain customers and build relationships. Old customers closely. As well as keeping track of regular customers •. Supervise and monitor the management of product development and other business as assigned by supervisor •. Regulatory, operational and subordinate staff. The evaluation of the work of subordinates."
937,Senior Network & Infrastructure Officer,"1. Planning and Design of Enterprise Network 2. Management System Enterprise Network to support and appropriate use of various systems 3. Plan. And determine how to control Care system Of the Organization for Security and prevent attacks 4. Plan. Backup Systems including Hardware, Data, including DR site5. Care management system Network system (design, monitor, analyze, problem solving, maintenance) 6. Management systems. Communication Link (MPLS, internet, WIFI, CCTV, Email, VPN) 7. Control IT Security: Firewall, Router, Anti-Virus (design, monitor, analyze, problem solving, maintenance) 8. Control Server Windows - Files Sharing. , VMware & Storage Server (design, monitor, analyze, problem solving, maintenance)."
938,Business Process Improvement Supervisor,"Purpose of Position (Job Purpose) 1. To participate in strategic planning and business process improvement. 2. To improve the standards process continues. And operating under the same policies and 3. To prevent and reduce the impact of risks. In the upcoming future responsibilities conclusion (Job Summary) responsible for the operation of the agency, Business Process Improvement to achieve maximum efficiency. Our focus is to improve the business processes within the organization continued. Establish standards for the organization The research, innovation or new ways to improve business processes for maximum efficiency continuous minimum qualifications required (Job Specification) 1. Prepare projects. Assigned according to a predetermined plan. 2. Assess and analyze the causes of problems in the operational processes of the organization End-to-End Process 3. Analysis of the current problems and risks associated with each business division. To cover both the People, Process and Technology4. Control the duration of the project in the plan. And can deliver the job on time 5. Coordinate relevant departments to work efficiently 6. Presentation of the progress of the project and monitor the operational phase 7. The process redesign. Effectiveness can write a Workflow process, WI, SOP and Policy has written a section 8. Communication / workshops with stakeholders. In order to understand and practice matches in the delivery 9. Tracking and monitoring project after delivery. And driving new processes The practice has continued."
939,Project Civil Engineer  / Project Architect,"Project Civil Engineer Job Description Responsible for planning and project management. The project is planned for the quality of engineering and construction projects, according to the budget plan and plan, budget and monitor staff and contractors working on the model. The quality control of construction costs, according to the budget approved administrative offices, such as monitoring construction plan revenue transfers, monitoring progress reports, projects, etc.. Project Architect 1 rate (condos mate Rhys. Ladprao - C 8): - participate in the planned follow-up out crema undertakings construction to be completed on schedule and quality - coordinating construction projects, building high content b. Each of the parties involved The construction was completed according to plan - Verify the accuracy of the architects of the project."
940,Property Management Data Analyst,"•Data analysts obtain and help other interpret and understand data. To do so. The analyst must cultivate and summon skills in analysis, computers, math and statistics.•Data analyst responsibilities include conducting full lifecycle analysis to include requirement gathering, data cleansing, preparing data and design. Data analyst will also develop analysis and reporting capabilities, they will also monitor performance and quality control plans to identify improvement.•Confirm project requirements from users.•Design, develop, implement and maintain databases which include data cleansing, collection system, data analytics and other strategies that optimize data quality.• Identify, analyze and interpret trends or patterns in complex data sets."
941,Artisan building of condos district (Sathorn / circus / Rama 9 Bangkok / Sukhumvit 55 / Sukhumvit 105).,"1. - off the electrical / mechanical. Scheduled 2. Maintenance (PM) and Service Request for editing utilities in the building to be ready for use at all times 3. Inspection and maintenance of all building systems. According to the schedule (Daily Check) 4. Make a note of the technical building daily in the format specified by the Log Book 5. Responsible for repair system that can be operated by a technician, building 6. Coordinating contractors in connection with various systems. Indoors, follow the safety regulations of the building and scope 7. Painted areas Machinery and equipment systems to maintain a neat 8. Recording function, electrical / mechanical. The standard form accurately determined and reported irregularities (if any) 9. Customer of the building to be comfortable. Quick service utilities such as electricity, telephone, water and sanitation. As well as the customer support and In-Unit and the extent and global policy coordination 10. Together with the building manager and a team of global Safety in the preparation of the action plan. And provide training to fix the problem and get to emergencies such as fires, power outages, flooding and water shortages 11. workaround or emergency and immediately reported to the head office by 12. Practice. other duties as assigned by supervisor."
942,Customer Service International Business (Chinese speaking),Job Description • Duty of self-responsibility projects since its launch. Until the ownership transfer • Liaise with clients from the contract. • The ownership transfer to coordinate with construction. To track the delivery suite The apartment building is going smoothly. And the company's standards • Liaise with other departments. Since its launch • The ownership transfer to a report in respect of their responsibilities. (Status Report Request / contract status report / status reports on the transfer. - Add - The title / summary reports on customer complaints) • Delivery Email List for the marketing department to send a Progress Report to the client for the project is not finished. As well as send Promotion During the time to market • contacting customers to arrange an inspection. Acceptance and ownership transfer within a specified period.
943,Marketing Coordinator,"•Overall of marketing activities•Coordinate and support PR & marketing tasks; promotion, Project Marketing, group of media.•Organize and attend marketing activities or events to raise brand awareness•Contribute in the implementation of marketing strategies•Support the marketing manager to coordinate with other department•Plan advertising and promotional campaigns for products or services (mainly offline)•Liaise with stakeholders and vendors to promote success of activities and enhance the company’s presence•See all ventures through to completion and evaluate their success using various metrics•Prepares marketing presentation, collect data for analyzing & report.•Other tasks assign by manager"
944,Project Sales Executive (English),"•         Plan, set and Achieve Sales Targets- Looking for clients who are interested to buy the property for living or investment, as well as work to achieve the company assigned target.•         Plan, Set and Achieve Marketing strategy•         Maintaining customer relationships and building new ones•         Send Monthly and weekly reports to Director•         Work closely with the Office team•         Approach potential customers and maintain good relationship with clients•         Coordinate with internal process"
945,System Analyst  (Supervisor - Assistant Manager),work discription• Interviews and gather information that is critical to the development of User • organization to develop plans and determine how long it takes to develop a •. Document preparation and analysis system construction for ER-Diagram • Review and submit proposals to the management system approval • Design file or database structures. • Design features for system interfaces with other systems User Interface provides a standardized •. Training for personnel involved. With the push to use the full truth.
946,"Building 2, Unit Manager (Office Building & Condo) Thonglor 10 / Ratchada Soi. 3 / Rama 9 Ramkhamhaeng.","- follow the company policy And supervisors The resolution of the senior management of the company - the management of the condominium, according to the Act., Regulations, resolutions of the general meeting, the Board of Directors of the building - a legal contract. Which has been approved by the board of directors of the entity - control and supervising management and services. Including facilitating various aspects of the co-owners and residents - Management Committee building, meeting and conference participants - Supervise the work of the parties to implement the agreement as garden housekeeper guard. -. events By resolution of the board of directors of the condominium - successfully oversaw the building and surrounding area. The availability of common property - Liaise with external agencies, and related administrative headquarters building components - check for payment. The debt owed to various"
